country_origin_id,country_origin_name,country_destiny_id,country_destiny_name,migrants_on_year_2000
AFG,Afghanistan,AFG,Afghanistan,0.0
AFG,Afghanistan,ALB,Albania,0.0
AFG,Afghanistan,DZA,Algeria,4.0
AFG,Afghanistan,ASM,American Samoa,0.0
AFG,Afghanistan,AND,Andorra,3.0
AFG,Afghanistan,AGO,Angola,0.0
AFG,Afghanistan,AIA,Anguilla,0.0
AFG,Afghanistan,ATG,Antigua and Barbuda,0.0
AFG,Afghanistan,ARG,Argentina,0.0
AFG,Afghanistan,ARM,Armenia,4.0
AFG,Afghanistan,ABW,Aruba,0.0
AFG,Afghanistan,AUS,Australia,4449.0
AFG,Afghanistan,AUT,Austria,854.0
AFG,Afghanistan,AZE,Azerbaijan,0.0
AFG,Afghanistan,BHS,Bahamas,0.0
AFG,Afghanistan,BHR,Bahrain,10054.0
AFG,Afghanistan,BGD,Bangladesh,13.0
AFG,Afghanistan,BRB,Barbados,0.0
AFG,Afghanistan,BLR,Belarus,0.0
AFG,Afghanistan,BEL,Belgium,111.0
AFG,Afghanistan,BLZ,Belize,1.0
AFG,Afghanistan,BEN,Benin,0.0
AFG,Afghanistan,BMU,Bermuda,2.0
AFG,Afghanistan,BTN,Bhutan,0.0
AFG,Afghanistan,BOL,Bolivia,0.0
AFG,Afghanistan,BIH,Bosnia and Herzegovina,0.0
AFG,Afghanistan,BWA,Botswana,0.0
AFG,Afghanistan,BRA,Brazil,11.0
AFG,Afghanistan,BRN,Brunei Darussalam,0.0
AFG,Afghanistan,BGR,Bulgaria,260.0
AFG,Afghanistan,BFA,Burkina Faso,0.0
AFG,Afghanistan,BDI,Burundi,0.0
AFG,Afghanistan,KHM,Cambodia,0.0
AFG,Afghanistan,CMR,Cameroon,0.0
AFG,Afghanistan,CAN,Canada,10707.0
AFG,Afghanistan,CPV,Cape Verde,0.0
AFG,Afghanistan,CYM,Cayman Islands,0.0
AFG,Afghanistan,CAF,Central African Republic,0.0
AFG,Afghanistan,TCD,Chad,0.0
AFG,Afghanistan,CHI,Channel Islands,0.0
AFG,Afghanistan,CHL,Chile,3.0
AFG,Afghanistan,CHN,China,42.0
AFG,Afghanistan,COL,Colombia,39.0
AFG,Afghanistan,COM,Comoros,0.0
AFG,Afghanistan,COD,Democratic Republic of the Congo,1.0
AFG,Afghanistan,COG,Republic of the Congo,0.0
