id_pais_origen,id_pais_destino,migrantes
AFG,DZA,41.0
AFG,ARG,6.0
AFG,AUS,42.0
AFG,AUT,47.0
AFG,BHR,62.0
AFG,BGD,151.0
AFG,BEL,16.0
AFG,BRA,8.0
AFG,BGR,168.0
AFG,BDI,1.0
AFG,KHM,5.0
AFG,CAN,228.0
AFG,CHN,24.0
AFG,COD,26.0
AFG,CYP,3.0
AFG,CZE,2.0
AFG,DNK,13.0
AFG,EGY,1450.0
AFG,SLV,7.0
AFG,FRO,7.0
AFG,FJI,9.0
AFG,FRA,1767.0
AFG,DEU,199.0
AFG,GRC,9.0
AFG,GUM,2.0
AFG,HND,1.0
AFG,HKG,67.0
AFG,HUN,99.0
AFG,IND,3827.0
AFG,IDN,24.0
AFG,IRN,42222.0
AFG,IRQ,327.0
AFG,IRL,6.0
AFG,ISR,16.0
AFG,ITA,180.0
AFG,JOR,21.0
AFG,KEN,6.0
AFG,KWT,760.0
AFG,LBN,28.0
AFG,LBY,36.0
AFG,MAC,3.0
AFG,MDV,3.0
AFG,MEX,15.0
AFG,MAR,63.0
AFG,MMR,12.0
AFG,NZL,19.0
AFG,NIC,10.0
AFG,NOR,2.0
AFG,OMN,80.0
AFG,PAK,28216.0
AFG,PER,1.0
AFG,PHL,11.0
AFG,POL,3.0
AFG,PRT,1.0
AFG,QAT,27.0
AFG,SAU,157.0
AFG,SCG,3.0
AFG,SGP,2.0
AFG,ZAF,2.0
AFG,LKA,14.0
AFG,SDN,5.0
AFG,SWE,17.0
AFG,CHE,160.0
AFG,SYR,701.0
AFG,TZA,23.0
AFG,THA,2.0
AFG,TUN,83.0
AFG,TUR,620.0
AFG,UGA,1.0
AFG,ARE,25.0
AFG,GBR,221.0
AFG,USA,293.0
AFG,VUT,3.0
AFG,VEN,5.0
AFG,PSE,39.0
AFG,YEM,1283.0
AFG,ZWE,1.0
ALB,DZA,16.0
ALB,AGO,5.0
ALB,ARG,4.0
ALB,AUS,1410.0
ALB,AUT,1158.0
ALB,BHR,2.0
ALB,BEL,1572.0
ALB,BEN,3.0
ALB,BMU,2.0
ALB,BOL,12.0
ALB,BIH,108.0
ALB,BGR,86.0
ALB,BDI,2.0
ALB,KHM,6.0
ALB,CMR,8.0
ALB,CAN,863.0
ALB,CPV,8.0
ALB,CAF,12.0
ALB,CHL,37.0
ALB,CHN,2.0
ALB,COD,106.0
ALB,COG,11.0
ALB,CIV,29.0
ALB,HRV,1045.0
ALB,CUB,5.0
ALB,CZE,11.0
ALB,DNK,145.0
ALB,DOM,3.0
ALB,EGY,5.0
ALB,ETH,12.0
ALB,FJI,5.0
ALB,FIN,9.0
ALB,FRA,19179.0
ALB,GAB,3.0
ALB,DEU,4212.0
ALB,GHA,5.0
ALB,GRC,6554.0
ALB,GUM,1.0
ALB,GTM,2.0
ALB,GIN,13.0
ALB,HND,2.0
ALB,HKG,5.0
ALB,HUN,917.0
ALB,ISL,2.0
ALB,IND,58.0
ALB,IDN,46.0
ALB,IRQ,8.0
ALB,IRL,7.0
ALB,ISR,29.0
ALB,ITA,12606.0
ALB,JOR,2.0
ALB,KWT,2.0
ALB,LAO,2.0
ALB,LBN,60.0
ALB,LBY,1.0
ALB,LIE,2.0
ALB,LUX,11.0
ALB,MKD,188.0
ALB,MEX,32.0
ALB,FSM,2.0
ALB,MCO,8.0
ALB,MAR,2.0
ALB,MMR,10.0
ALB,NLD,1237.0
ALB,NZL,29.0
ALB,NIC,12.0
ALB,NER,19.0
ALB,NGA,59.0
ALB,NOR,4.0
ALB,PAK,4.0
ALB,PAN,125.0
ALB,PER,19.0
ALB,PHL,20.0
ALB,POL,124.0
ALB,PRT,5.0
ALB,QAT,57.0
ALB,ROU,1567.0
ALB,RWA,3.0
ALB,SEN,4.0
ALB,SCG,1036.0
ALB,SLE,1.0
ALB,SGP,4.0
ALB,SVK,4.0
ALB,SVN,304.0
ALB,ZAF,32.0
ALB,ESP,84.0
ALB,SDN,1.0
ALB,SWE,44.0
ALB,CHE,4810.0
ALB,SYR,2.0
ALB,TZA,10.0
ALB,THA,34.0
ALB,TGO,27.0
ALB,TTO,2.0
ALB,TUN,3.0
ALB,TUR,5224.0
ALB,GBR,4.0
ALB,USA,10047.0
ALB,URY,1.0
ALB,PSE,17.0
ALB,YEM,10.0
ALB,ZWE,5.0
DZA,AFG,7.0
DZA,AGO,10.0
DZA,ATG,1.0
DZA,ARG,71.0
DZA,ABW,5.0
DZA,AUS,130.0
DZA,AUT,1923.0
DZA,BHS,1.0
DZA,BGD,16.0
DZA,BRB,3.0
DZA,BEL,1694.0
DZA,BEN,49.0
DZA,BIH,30.0
DZA,BWA,6.0
DZA,BRA,168.0
DZA,BGR,33.0
DZA,BFA,65.0
DZA,KHM,13.0
DZA,CAN,222.0
DZA,CPV,3.0
DZA,CAF,4.0
DZA,CHL,17.0
DZA,CHN,5.0
DZA,COL,4.0
DZA,COD,2.0
DZA,COG,4.0
DZA,CIV,113.0
DZA,CUB,65.0
DZA,CYP,36.0
DZA,CZE,3.0
DZA,DNK,1558.0
DZA,DMA,1.0
DZA,DOM,38.0
DZA,EGY,5218.0
DZA,SLV,1.0
DZA,ETH,72.0
DZA,FJI,5.0
DZA,FIN,29.0
DZA,FRA,626615.0
DZA,GUF,95.0
DZA,PYF,58.0
DZA,GAB,19.0
DZA,DEU,9670.0
DZA,GHA,7.0
DZA,GIB,2.0
DZA,GRC,379.0
DZA,GRD,1.0
DZA,GLP,149.0
DZA,GUM,1.0
DZA,GUY,1.0
DZA,HTI,3.0
DZA,HND,2.0
DZA,HKG,15.0
DZA,HUN,116.0
DZA,ISL,2.0
DZA,IND,2351.0
DZA,IDN,76.0
DZA,IRQ,145.0
DZA,IRL,329.0
DZA,ISR,46884.0
DZA,ITA,7365.0
DZA,JOR,76.0
DZA,KEN,1.0
DZA,LAO,2.0
DZA,LBN,10.0
DZA,LBY,73.0
DZA,LIE,3.0
DZA,LUX,93.0
DZA,MKD,52.0
DZA,MDG,3.0
DZA,MWI,1.0
DZA,MLI,450.0
DZA,MTQ,162.0
DZA,FSM,2.0
DZA,MCO,90.0
DZA,MAR,94601.0
DZA,MMR,92.0
DZA,NAM,2.0
DZA,NLD,52.0
DZA,ANT,24.0
DZA,NCL,264.0
DZA,NZL,2.0
DZA,NIC,19.0
DZA,NER,353.0
DZA,NOR,215.0
DZA,OMN,1.0
DZA,PAK,186.0
DZA,PAN,10.0
DZA,PNG,2.0
DZA,PER,6.0
DZA,PHL,34.0
DZA,POL,4.0
DZA,PRT,14.0
DZA,PRI,3.0
DZA,QAT,9.0
DZA,REU,158.0
DZA,SMR,1.0
DZA,SAU,2.0
DZA,SEN,5.0
DZA,SCG,290.0
DZA,SLE,10.0
DZA,SGP,56.0
DZA,SVK,1.0
DZA,ZAF,25.0
DZA,LCA,1.0
DZA,SDN,764.0
DZA,SWZ,1.0
DZA,SWE,6.0
DZA,CHE,6568.0
DZA,SYR,23.0
DZA,THA,7.0
DZA,TGO,3.0
DZA,TTO,21.0
DZA,TUN,32926.0
DZA,TUR,602.0
DZA,UGA,2.0
DZA,GBR,8385.0
DZA,USA,322.0
DZA,URY,5.0
DZA,VEN,15.0
DZA,PSE,3293.0
DZA,YEM,1136.0
DZA,ZMB,1.0
DZA,ZWE,604.0
ASM,AUT,1.0
ASM,BEL,2.0
ASM,CAN,180.0
ASM,DOM,4.0
ASM,FJI,4.0
ASM,FRA,1.0
ASM,DEU,13.0
ASM,GLP,1.0
ASM,HKG,2.0
ASM,IND,6.0
ASM,ITA,6.0
ASM,KIR,2.0
ASM,FSM,2.0
ASM,NRU,2.0
ASM,NZL,10.0
ASM,NIU,21.0
ASM,PAK,2.0
ASM,PNG,1.0
ASM,PRI,3.0
ASM,WSM,1694.0
ASM,SLB,4.0
ASM,CHE,5.0
ASM,TTO,2.0
ASM,TUV,1.0
ASM,GBR,2.0
ASM,USA,2519.0
ASM,VUT,2.0
ASM,YEM,3.0
AND,DZA,1.0
AND,AGO,1.0
AND,AUT,2.0
AND,BEL,2.0
AND,CAN,17.0
AND,CHL,4.0
AND,DNK,2.0
AND,FRA,233.0
AND,DEU,7.0
AND,HUN,14.0
AND,ITA,20.0
AND,NLD,15.0
AND,ZAF,532.0
AND,ESP,1.0
AND,SWE,1.0
AND,CHE,8.0
AND,USA,440.0
AGO,ARG,786.0
AGO,AUS,18.0
AGO,AUT,66.0
AGO,BGD,2.0
AGO,BEL,58.0
AGO,BEN,17.0
AGO,BIH,3.0
AGO,BWA,202.0
AGO,BRA,2947.0
AGO,BGR,2.0
AGO,BDI,1.0
AGO,KHM,2.0
AGO,CAN,79.0
AGO,CPV,1.0
AGO,CAF,10.0
AGO,TCD,2.0
AGO,CHL,57.0
AGO,COL,46.0
AGO,COG,840.0
AGO,CIV,40.0
AGO,CYP,8.0
AGO,DNK,174.0
AGO,DJI,2.0
AGO,ECU,10.0
AGO,ETH,191.0
AGO,FIN,3.0
AGO,FRA,7698.0
AGO,GUF,18.0
AGO,GAB,51.0
AGO,DEU,314.0
AGO,GHA,2.0
AGO,GIB,3.0
AGO,GRC,13.0
