id_sede,nombre
CBARC,"Sección Cultura, Educación y Redes Sociales"
CBARC,Sección Administrativa
CBARC,Sección Consular (Asistencia al ciudadano/Visas)
CBARC,Sección Consular (Documentación/Asuntos previsionales)
CBARC,"Sección Comercial, Turismo e Inversiones"
CBARC,Sección Consular (Opción de Nacionalidad/Notariales/Itinerancias)
CCHIC,Sección Económica y Comercial
CCHIC,Sección Consular
CFRAN,Sección Cultural
CFRAN,Sección Consular
CFRAN,Sección Administrativa
CFRAN,Sección Económica y Comercial
CGMUM,Sección Económica y Comercial
CGMUM,Sección Consular
CGMUM,Sección de Administración
CGTEL,Sección Consular
CGTEL,Sección Administrativa
CGUAY,AGREGADO CONSULAR
CGUAY,CONSULAR
CHONG,Asuntos Consulares
CHONG,Sección Económica-Comercial
CMIAM,Sección Consular (Trámites generales)
CMIAM,Sección Cultural
CMIAM,Sección Consular (Visas y Asistencia a Argentinos)
CMIAM,Sección Administración
CMIAM,Sección Consular (Notariales)
CMIAM,Sección Comercial e Inversiones
CMIAM,Sección Consular (Documentación)
CMIAM,Cónsul General Adjunto
CMILA,Sección Consular - Cónsul Adjunto Agustín Busignani
CMILA,Sección Consular: Cónsul Adjunto Lara Fazzolari
CMILA,Sección Administrativa - Titular:
CNYOR,Sección Consular
CNYOR,Turismo
CNYOR,Promoción Cultural
CNYOR,Asistencia a Argentinos en el Exterior
CNYOR,Comunidad argentina y diplomacia pública
CNYOR,Visas
CNYOR,Sección Económica y Comercial
CNYOR,Administración
CNYOR,Sección Notarial
CPABL,Sección Consular
CPCAR,Cónsul Adjunto
CRECI,Sección Cultural
CRECI,Sección Prensa
CRECI,Sección Administrativa y Contable
CRECI,Sección Consular
CRECI,Sección Económica y Comercial
CRIOJ,Sección Cultural
CRIOJ,Sección Turismo
CRIOJ,Sección Consular
CRIOJ,Sección Económica y Comercial
CSCRS,Sección Administrativa
CSCRS,Sección Económica y Comercial
CSCRS,Sección Consular
CSCRS,Seccion Cultural
CSHAN,Sección Económica y Comercial
CSHAN,Sección Cultural
CSHAN,Sección Consular
CSHAN,Sección Prensa
CSHAN,Sección Deportiva
CSHAN,Sección Educativa
CSHAN,Sección Turismo
CSIDN,Sección Administrativa
CSIDN,Sección Consular
CSIDN,Sección Comercial y Cultural
CTORO,SECCION ECONOMICA Y COMERCIAL
CTORO,SECCION CULTURAL
CTORO,SECCION CONSULAR
CURUG,Sección Comercial
CVIGO,Sección Cultural
CVIGO,Sección Económica y Comercial
CVIGO,Sección Consular
DITIC,Sección prueba
DITIC,nueva
EALEM,Sección Cooperación Internacional
EALEM,Sección Cultural
EALEM,Sección Consular
EALEM,Sección Turismo
EALEM,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EALEM,Sección Administración
EALEM,Sección Económica y Comercial
EALEM,Sección de Prensa
EALEM,Sección Política
EALEM,Jefa de Cancillería
EANGO,Sección Cultural y Prensa
EANGO,Sección Consular
EANGO,Sección Cooperación
EANGO,Sección Política
EANGO,Sección Económica y Comercial
EANGO,Sección Administrativa
EARGE,Sección Consular
EARGE,Sección Administrativa
EARGE,Sección Política
EARGE,Sección Prensa
EARGE,Sección Cultural
EARGE,Sección Económica y Comercial
EARME,Sección Administrativa
EARME,Sección Económica y Comercial
EARME,Sección Consular
EASIR,Sección Consular
EAUST,Seccion Cultural
EAUST,Sección Comercio e Inversiones
EAUST,Sección Administrativa
EAUST,Sección Política
EAUST,Sección Ciencia y Tecnología
EAZER,Sección Política
EAZER,Sección de Administración
EAZER,Sección Económica y Comercial
EAZER,Sección Consular
EAZER,Sección Cultural
EBARB,Sección Económica y Comercial
EBARB,Sección Consular
EBARB,Sección Administrativa
EBARB,Sección Cooperación Internacional
EBARB,Sección Cultural y Prensa
EBARB,Jefe de Cancillería
EBARB,Sección Política
EBELG,Sección Consular
EBELG,Sección Cultural
EBELG,Sección Económica y Comercial
EBELG,Jefe de Cancillería
EBELG,Sección Política
EBOLV,Agregaduría de Defensa y Militar
EBOLV,"Sección Política, Fronteras, Defensa y Seguridad"
EBOLV,"Sección Económica, Comercial, de Inversiones y Turismo."
EBOLV,"Sección Económica, Comercial, de Inversiones y Turismo."
EBOLV,Agregaduría Aeronáutica
EBOLV,Agregaduría de Gendarmería Nacional Argentina (GNA)
EBOLV,Embajador Extraordinario y Plenipotenciario de la República Argentina
EBOLV,Agregaduría de Prefectura Naval
EBOLV,Contabilidad y Administración.
EBOLV,"Sección Cultural, Prensa, Educación, Derechos Humanos y de Cooperación Técnica"
EBOLV,"Mujeres, Género, Diversidad y Medio Ambiente"
EBOLV,Misión Naval Argentina
EBRAS,Sección Cultural
EBRAS,Jefe de Cancillería
EBRAS,Consejería Agrícola
EBRAS,Agregado Militar y de Defensa
EBRAS,Sección Consular
EBRAS,Agregado Naval
EBRAS,"Sección Económico-Comercial, Inversiones y Turismo"
ECANA,Sección Administrativa
ECANA,Sección Cultural
ECANA,Jefe de Cancillería
ECANA,"Sección Económica-Comercial, Cooperación e Innovación"
ECEUR,Consejería Agrícola
ECEUR,Sección Económica y Comercial
ECEUR,Sección Política
ECEUR,Sección Administrativa
ECEUR,Sección Prensa y Diplomacia Pública
ECEUR,Cancillería
ECHES,Sección Política
ECHES,Sección Económica y Comercial
ECHES,Sección Consular
